id,technology,status_code,status_ar,phase,priority,dependencies,owner_role,shared_track,evidence_refs,evidence_paths,gap_or_extension,acceptance_test,integration_snapshot,primary_package,package_anchor,execution_state
A011,Self-Consistency,N,غير ظاهر في نطاق الفحص,R7,P2,R4;R5;R6-if-learned,Agent + Evaluation,مسارات ووكلاء ومحاكاة مقاسة,"E00,E24",packages/cells/celia/infinite/src/multiverse-engine.js;packages/cells/celia/infinite/src/swarm-pheromone.js;packages/cells/celia/dsl/src/consensus-dsl.js,مقارنة إجابات مستقلة موثقة مع الامتناع عند التعارض,لا يحوّل اتفاق نماذج على الخطأ إلى حقيقة مثبتة,NOT_CONNECTED,P16,nexa-execution-plan.ar.md#p16,PLANNED_NOT_IMPLEMENTED_BY_THIS_DOCUMENT
A012,Tool Calling,P,جزئي أو أساس قريب,R1,P0,R0,Security + Platform,بوابة تنفيذ وعزل وهوية موحدة,"E01,E04",packages/identity/index.js;packages/crypto/index.js;packages/capability/index.js;packages/policy/src/rules.js;packages/protocol/index.js;packages/ast/index.js;tests/capability.test.js;tests/endpoint.test.js;tests/security.test.js;packages/cells/celia/planner/src/grok.js;packages/cells/celia/executor/src/executor.js;packages/cells/celia/executor/src/tool-registry.js;packages/cells/celia/executor/src/adaptive-dag.js;tools/dag-executor.mjs,جمع الأدوات الحقيقية تحت gateway بلا mock-success,هوية وقدرة وسياسة لكل استدعاء مع denied-no-effects,CONNECTED_LIMITED,P04,nexa-execution-plan.ar.md#p04,PLANNED_NOT_IMPLEMENTED_BY_THIS_DOCUMENT
A013,Function Calling,P,جزئي أو أساس قريب,R3,P1,R1;R2,Integrations + Platform,موصلات وتوجيه وسياق,"E01,E04",packages/identity/index.js;packages/crypto/index.js;packages/capability/index.js;packages/policy/src/rules.js;packages/protocol/index.js;packages/ast/index.js;tests/capability.test.js;tests/endpoint.test.js;tests/security.test.js;packages/cells/celia/planner/src/grok.js;packages/cells/celia/executor/src/executor.js;packages/cells/celia/executor/src/tool-registry.js;packages/cells/celia/executor/src/adaptive-dag.js;tools/dag-executor.mjs,سجل وظائف محدود بعقود inputs وoutputs وإصدار ثابت,رفض وظيفة أو حقل غير معروف ومنع arbitrary code evaluation,CONNECTED_LIMITED,P10,nexa-execution-plan.ar.md#p10,PLANNED_NOT_IMPLEMENTED_BY_THIS_DOCUMENT
A014,MCP,M,موجود محليًا محدود,R3,P1,R1;R2,Integrations + Platform,موصلات وتوجيه وسياق,E02,adapters/mcp/src/bridge.js;tests/mcp.test.js,إعادة استخدام bridge؛ إضافة اتصالات خوادم موثوقة بإصدارات مثبتة,contract tests ونقل فعلي مع استمرار إغلاق الأدوات المحظورة,NOT_CONNECTED,P10,nexa-execution-plan.ar.md#p10,PLANNED_NOT_IMPLEMENTED_BY_THIS_DOCUMENT
A015,Tool Routing,P,جزئي أو أساس قريب,R3,P1,R1;R2,Integrations + Platform,موصلات وتوجيه وسياق,E04,packages/cells/celia/planner/src/grok.js;packages/cells/celia/executor/src/executor.js;packages/cells/celia/executor/src/tool-registry.js;packages/cells/celia/executor/src/adaptive-dag.js;tools/dag-executor.mjs,توجيه حتمي بحسب العقد والصلاحية والتكلفة,لا اختيار أداة لا يملك طالبها القدرة عليها,NOT_CONNECTED,P10,nexa-execution-plan.ar.md#p10,PLANNED_NOT_IMPLEMENTED_BY_THIS_DOCUMENT
A016,Model Routing,P,جزئي أو أساس قريب,R3,P1,R1;R2,Integrations + Platform,موصلات وتوجيه وسياق,E03,packages/runtime/src/providers.js;tools/celia-grok-port.mjs,سجل model capabilities وتقييم جودة/كمون فعلي,مهمة ذات schema أو لغة مطلوبة لا توجه لنموذج غير داعم,NOT_CONNECTED,P10,nexa-execution-plan.ar.md#p10,PLANNED_NOT_IMPLEMENTED_BY_THIS_DOCUMENT
A017,Provider Routing,P,جزئي أو أساس قريب,R3,P1,R1;R2,Integrations + Platform,موصلات وتوجيه وسياق,E03,packages/runtime/src/providers.js;tools/celia-grok-port.mjs,توسيع registry بموصلات فعلية ومناطق وخصوصية معلنة,طلب حقيقي موثق؛ لا تحول صامت إلى رد mock,NOT_CONNECTED,P10,nexa-execution-plan.ar.md#p10,PLANNED_NOT_IMPLEMENTED_BY_THIS_DOCUMENT
A018,Mixture of Experts,N,غير ظاهر في نطاق الفحص,R8,P3,R1;R2;use-case-ADR;R5/R6-if-training,ML/Formal/Infrastructure حسب ADR,بحث وتكامل نموذج/عتاد مشروط,E00,,ميزة معمارية لنموذج مُدار وليست مجرد provider router,دليل خبراء وgating في runtime وقياس جودة وتكلفة على عتاد محدد,NOT_CONNECTED,P17,nexa-execution-plan.ar.md#p17,PLANNED_NOT_IMPLEMENTED_BY_THIS_DOCUMENT
A019,Ensemble AI,N,غير ظاهر في نطاق الفحص,R7,P2,R4;R5;R6-if-learned,Agent + Evaluation,مسارات ووكلاء ومحاكاة مقاسة,"E00,E24",packages/cells/celia/infinite/src/multiverse-engine.js;packages/cells/celia/infinite/src/swarm-pheromone.js;packages/cells/celia/dsl/src/consensus-dsl.js,دمج نتائج نماذج مع حدود التكلفة واستقلال التقييم,يتفوق على أفضل baseline بهامش معلن ولا يزيد المخاطر,NOT_CONNECTED,P16,nexa-execution-plan.ar.md#p16,PLANNED_NOT_IMPLEMENTED_BY_THIS_DOCUMENT
A020,Model Cascading,N,غير ظاهر في نطاق الفحص,R3,P1,R1;R2,Integrations + Platform,موصلات وتوجيه وسياق,"E00,E03",packages/runtime/src/providers.js;tools/celia-grok-port.mjs,تصعيد مشروط من نموذج اقتصادي لآخر أقوى,عتبة جودة ثابتة مسبقًا وتكلفة محسوبة لكل تصعيد,NOT_CONNECTED,P10,nexa-execution-plan.ar.md#p10,PLANNED_NOT_IMPLEMENTED_BY_THIS_DOCUMENT
A021,Fallback Models,P,جزئي أو أساس قريب,R3,P1,R1;R2,Integrations + Platform,موصلات وتوجيه وسياق,E03,packages/runtime/src/providers.js;tools/celia-grok-port.mjs,تحويل fallback declarations إلى سياسة أعطال تشغيلية محددة,محاكاة timeout/429؛ لا fallback يتجاوز الخصوصية أو الصلاحية,NOT_CONNECTED,P10,nexa-execution-plan.ar.md#p10,PLANNED_NOT_IMPLEMENTED_BY_THIS_DOCUMENT
A022,Semantic Cache,N,غير ظاهر في نطاق الفحص,R3,P1,R1;R2,Integrations + Platform,موصلات وتوجيه وسياق,"E00,E07",packages/runtime/src/memory.js;packages/cells/celia/memory/src/lifecycle.js;packages/cells/celia/memory/src/procedural-store.js;packages/cells/celia/memory/src/belief-engine.js;packages/cells/celia/memory/src/governed-engine.js;packages/cells/celia/memory/src/vector-store.js,cache تشابه مستقل عن semantic memory ومعزول بالهوية,قياس false hits وعدم إعادة إجابة تخص tenant أو إصدارًا آخر,NOT_CONNECTED,P10,nexa-execution-plan.ar.md#p10,PLANNED_NOT_IMPLEMENTED_BY_THIS_DOCUMENT
A023,Response Cache,N,غير ظاهر في نطاق الفحص,R3,P1,R1;R2,Integrations + Platform,موصلات وتوجيه وسياق,E00,,cache دقيق لإجابات read-only مع TTL وإبطال محدد,تغير السياق أو الصلاحية أو النموذج يبطل الإدخال,NOT_CONNECTED,P10,nexa-execution-plan.ar.md#p10,PLANNED_NOT_IMPLEMENTED_BY_THIS_DOCUMENT
A024,Prompt Cache,N,غير ظاهر في نطاق الفحص,R3,P1,R1;R2,Integrations + Platform,موصلات وتوجيه وسياق,"E00,E03",packages/runtime/src/providers.js;tools/celia-grok-port.mjs,دعم prefix caching لدى provider الداعم فقط,قياس hit وتكلفة حقيقيان دون اشتراك prefix سري بين المستخدمين,NOT_CONNECTED,P10,nexa-execution-plan.ar.md#p10,PLANNED_NOT_IMPLEMENTED_BY_THIS_DOCUMENT
A025,KV Cache,D,ديمو/محاكاة,R8,P3,R1;R2;use-case-ADR;R5/R6-if-training,ML/Formal/Infrastructure حسب ADR,بحث وتكامل نموذج/عتاد مشروط,E21,packages/cells/celia/infinite/src/kv-cache-dedup.js;packages/cells/celia/dsl/src/pmplspec.js,ملف حالي يخزن صفحات tokens لا K/V tensors؛ استخدم runtime متخصصًا,قياس ذاكرة وكمون فعليين وفصل السياقات دون ادعاءات نسب ثابتة,NOT_CONNECTED,P17,nexa-execution-plan.ar.md#p17,PLANNED_NOT_IMPLEMENTED_BY_THIS_DOCUMENT
A026,Working Memory,P,جزئي أو أساس قريب,R2,P1,R1,Backend + Data + SRE,حالة وبيانات وتشغيل دائم,E07,packages/runtime/src/memory.js;packages/cells/celia/memory/src/lifecycle.js;packages/cells/celia/memory/src/procedural-store.js;packages/cells/celia/memory/src/belief-engine.js;packages/cells/celia/memory/src/governed-engine.js;packages/cells/celia/memory/src/vector-store.js,توسيع tiers المحلية بسياق مهمة معزول محدود,تنتقل السياقات المسموح بها فقط ولا تتسرب بين المهام,CONNECTED_LIMITED,P06,nexa-execution-plan.ar.md#p06,PLANNED_NOT_IMPLEMENTED_BY_THIS_DOCUMENT
A027,Episodic Memory,P,جزئي أو أساس قريب,R2,P1,R1,Backend + Data + SRE,حالة وبيانات وتشغيل دائم,"E07,E08",packages/runtime/src/memory.js;packages/cells/celia/memory/src/lifecycle.js;packages/cells/celia/memory/src/procedural-store.js;packages/cells/celia/memory/src/belief-engine.js;packages/cells/celia/memory/src/governed-engine.js;packages/cells/celia/memory/src/vector-store.js;tools/celia-memory-port.mjs;tools/celia-vector-port.mjs;supabase/migrations/20260920_celia_memory_init.sql;supabase/migrations/20260921_pgvector.sql,أحداث تجارب مرتبطة بالمصدر والهوية ومدة الاحتفاظ,استرجاع تجربة صحيحة مع provenance وعدم خلط أصحابها,NOT_CONNECTED,P06,nexa-execution-plan.ar.md#p06,PLANNED_NOT_IMPLEMENTED_BY_THIS_DOCUMENT
A028,Semantic Memory,P,جزئي أو أساس قريب,R2,P1,R1,Backend + Data + SRE,حالة وبيانات وتشغيل دائم,"E07,E08",packages/runtime/src/memory.js;packages/cells/celia/memory/src/lifecycle.js;packages/cells/celia/memory/src/procedural-store.js;packages/cells/celia/memory/src/belief-engine.js;packages/cells/celia/memory/src/governed-engine.js;packages/cells/celia/memory/src/vector-store.js;tools/celia-memory-port.mjs;tools/celia-vector-port.mjs;supabase/migrations/20260920_celia_memory_init.sql;supabase/migrations/20260921_pgvector.sql,استبدال hash embeddings في الإنتاج وتمييز facts عن hypotheses,مقياس retrieval على بيانات عربية وإنجليزية منفصلة,NOT_CONNECTED,P06,nexa-execution-plan.ar.md#p06,PLANNED_NOT_IMPLEMENTED_BY_THIS_DOCUMENT
A029,Procedural Memory,P,جزئي أو أساس قريب,R4,P1,R2;R3,Agent + QA,وكيل إصلاح محدود وقابل للقياس,E07,packages/runtime/src/memory.js;packages/cells/celia/memory/src/lifecycle.js;packages/cells/celia/memory/src/procedural-store.js;packages/cells/celia/memory/src/belief-engine.js;packages/cells/celia/memory/src/governed-engine.js;packages/cells/celia/memory/src/vector-store.js,تعزيز recipes الحالية بعقود preconditions وإصدارات وأدلة,لا إعادة وصفة تغيرت شروطها أو سُحب اعتمادها,NOT_CONNECTED,P12,nexa-execution-plan.ar.md#p12,PLANNED_NOT_IMPLEMENTED_BY_THIS_DOCUMENT
A030,Long-Term Memory,P,جزئي أو أساس قريب,R2,P1,R1,Backend + Data + SRE,حالة وبيانات وتشغيل دائم,"E07,E08",packages/runtime/src/memory.js;packages/cells/celia/memory/src/lifecycle.js;packages/cells/celia/memory/src/procedural-store.js;packages/cells/celia/memory/src/belief-engine.js;packages/cells/celia/memory/src/governed-engine.js;packages/cells/celia/memory/src/vector-store.js;tools/celia-memory-port.mjs;tools/celia-vector-port.mjs;supabase/migrations/20260920_celia_memory_init.sql;supabase/migrations/20260921_pgvector.sql,إضافة مخزن دائم مع ownership وحذف واسترجاع بعد restart,اختبارات restart وbackup/restore وعزل A/B حقيقية,NOT_CONNECTED,P06,nexa-execution-plan.ar.md#p06,PLANNED_NOT_IMPLEMENTED_BY_THIS_DOCUMENT
A031,Short-Term Memory,P,جزئي أو أساس قريب,R2,P1,R1,Backend + Data + SRE,حالة وبيانات وتشغيل دائم,"E05,E07",packages/runtime/src/machine.js;packages/runtime/src/authority.js;packages/runtime/src/session.js;packages/runtime/src/healer.js;packages/runtime/src/breaker.js;tests/omega-runtime.test.js;packages/runtime/src/memory.js;packages/cells/celia/memory/src/lifecycle.js;packages/cells/celia/memory/src/procedural-store.js;packages/cells/celia/memory/src/belief-engine.js;packages/cells/celia/memory/src/governed-engine.js;packages/cells/celia/memory/src/vector-store.js,TTL وحدود ذاكرة للجلسة بدل Maps غير محدودة,انتهاء الجلسة يمحو السياق المؤقت ولا يمس الأدلة المطلوبة,CONNECTED_LIMITED,P06,nexa-execution-plan.ar.md#p06,PLANNED_NOT_IMPLEMENTED_BY_THIS_DOCUMENT
A032,Memory Consolidation,P,جزئي أو أساس قريب,R2,P1,R1,Backend + Data + SRE,حالة وبيانات وتشغيل دائم,E07,packages/runtime/src/memory.js;packages/cells/celia/memory/src/lifecycle.js;packages/cells/celia/memory/src/procedural-store.js;packages/cells/celia/memory/src/belief-engine.js;packages/cells/celia/memory/src/governed-engine.js;packages/cells/celia/memory/src/vector-store.js,دمج الذكريات المتوافقة مع الاحتفاظ بالنسب والتعارض,كل ملخص يعود إلى المصادر ولا يسقط واقعة مخالفة,NOT_CONNECTED,P06,nexa-execution-plan.ar.md#p06,PLANNED_NOT_IMPLEMENTED_BY_THIS_DOCUMENT
A033,Memory Decay,P,جزئي أو أساس قريب,R2,P1,R1,Backend + Data + SRE,حالة وبيانات وتشغيل دائم,E07,packages/runtime/src/memory.js;packages/cells/celia/memory/src/lifecycle.js;packages/cells/celia/memory/src/procedural-store.js;packages/cells/celia/memory/src/belief-engine.js;packages/cells/celia/memory/src/governed-engine.js;packages/cells/celia/memory/src/vector-store.js,تقنين utility/forgetting مع استثناءات retention وlegal hold,اختبارات زمنية حتمية وعدم إحياء سجل محذوف,NOT_CONNECTED,P06,nexa-execution-plan.ar.md#p06,PLANNED_NOT_IMPLEMENTED_BY_THIS_DOCUMENT
A034,Memory Retrieval,P,جزئي أو أساس قريب,R2,P1,R1,Backend + Data + SRE,حالة وبيانات وتشغيل دائم,"E07,E08",packages/runtime/src/memory.js;packages/cells/celia/memory/src/lifecycle.js;packages/cells/celia/memory/src/procedural-store.js;packages/cells/celia/memory/src/belief-engine.js;packages/cells/celia/memory/src/governed-engine.js;packages/cells/celia/memory/src/vector-store.js;tools/celia-memory-port.mjs;tools/celia-vector-port.mjs;supabase/migrations/20260920_celia_memory_init.sql;supabase/migrations/20260921_pgvector.sql,فلترة التفويض قبل retrieval ثم reranking مقاس,لا تسريب قبل أو بعد ترتيب top-k وقياس recall/precision,NOT_CONNECTED,P06,nexa-execution-plan.ar.md#p06,PLANNED_NOT_IMPLEMENTED_BY_THIS_DOCUMENT
A035,Context Compression,N,غير ظاهر في نطاق الفحص,R3,P1,R1;R2,Integrations + Platform,موصلات وتوجيه وسياق,"E00,E25",packages/cells/celia/dsl/src/ctxql.js;packages/cells/celia/dsl/src/flow-dsl.js;packages/cells/celia/dsl/src/caplang.js;packages/cells/celia/dsl/src/replay-dsl.js,ضغط محافظ على القيود والمراجع لا حذف عشوائي,نجاح المهام لا ينخفض خارج الهامش عند تقليل tokens,NOT_CONNECTED,P10,nexa-execution-plan.ar.md#p10,PLANNED_NOT_IMPLEMENTED_BY_THIS_DOCUMENT
A036,Context Summarization,N,غير ظاهر في نطاق الفحص,R3,P1,R1;R2,Integrations + Platform,موصلات وتوجيه وسياق,"E00,E25",packages/cells/celia/dsl/src/ctxql.js;packages/cells/celia/dsl/src/flow-dsl.js;packages/cells/celia/dsl/src/caplang.js;packages/cells/celia/dsl/src/replay-dsl.js,ملخصات مربوطة بالرسائل وموسومة بدرجة تحققها,عدم اختراع قرارات أو إسقاط قيد أمني في مجموعة الاختبار,NOT_CONNECTED,P10,nexa-execution-plan.ar.md#p10,PLANNED_NOT_IMPLEMENTED_BY_THIS_DOCUMENT
A037,Context Management,P,جزئي أو أساس قريب,R3,P1,R1;R2,Integrations + Platform,موصلات وتوجيه وسياق,"E04,E25",packages/cells/celia/planner/src/grok.js;packages/cells/celia/executor/src/executor.js;packages/cells/celia/executor/src/tool-registry.js;packages/cells/celia/executor/src/adaptive-dag.js;tools/dag-executor.mjs;packages/cells/celia/dsl/src/ctxql.js;packages/cells/celia/dsl/src/flow-dsl.js;packages/cells/celia/dsl/src/caplang.js;packages/cells/celia/dsl/src/replay-dsl.js,توسيع CtxQL إلى ميزانية نافذة tokenizer فعلية,لا تجاوز للنافذة مع الحفاظ على تعليمات السياسة والمصادر,NOT_CONNECTED,P10,nexa-execution-plan.ar.md#p10,PLANNED_NOT_IMPLEMENTED_BY_THIS_DOCUMENT
A038,Prompt Engineering,P,جزئي أو أساس قريب,R3,P1,R1;R2,Integrations + Platform,موصلات وتوجيه وسياق,E03,packages/runtime/src/providers.js;tools/celia-grok-port.mjs,نقل prompts المضمّنة إلى قوالب مسماة بإصدارات ومراجعة,كل تغيير له diff وeval ويمكن الرجوع عنه,NOT_CONNECTED,P10,nexa-execution-plan.ar.md#p10,PLANNED_NOT_IMPLEMENTED_BY_THIS_DOCUMENT
A039,Prompt Chaining,P,جزئي أو أساس قريب,R4,P1,R2;R3,Agent + QA,وكيل إصلاح محدود وقابل للقياس,"E04,E25",packages/cells/celia/planner/src/grok.js;packages/cells/celia/executor/src/executor.js;packages/cells/celia/executor/src/tool-registry.js;packages/cells/celia/executor/src/adaptive-dag.js;tools/dag-executor.mjs;packages/cells/celia/dsl/src/ctxql.js;packages/cells/celia/dsl/src/flow-dsl.js;packages/cells/celia/dsl/src/caplang.js;packages/cells/celia/dsl/src/replay-dsl.js,ربط prompts بعقود typed لا تمرير نصوص حرة كأوامر,المرحلة التالية ترفض مخرجًا يخالف schema,NOT_CONNECTED,P12,nexa-execution-plan.ar.md#p12,PLANNED_NOT_IMPLEMENTED_BY_THIS_DOCUMENT
A040,Dynamic Prompting,P,جزئي أو أساس قريب,R3,P1,R1;R2,Integrations + Platform,موصلات وتوجيه وسياق,E04,packages/cells/celia/planner/src/grok.js;packages/cells/celia/executor/src/executor.js;packages/cells/celia/executor/src/tool-registry.js;packages/cells/celia/executor/src/adaptive-dag.js;tools/dag-executor.mjs,بناء السياق من بيانات مصنفة الثقة وميزانية محددة,نص مستخدم أو بحث لا يستبدل سياسة النظام,NOT_CONNECTED,P10,nexa-execution-plan.ar.md#p10,PLANNED_NOT_IMPLEMENTED_BY_THIS_DOCUMENT
A041,Prompt Optimization,N,غير ظاهر في نطاق الفحص,R6,P2,R2;R4;R5;reviewed-data,ML + Evaluation,تعلم مرشح وتقييم ومعايرة,"E00,E11",packages/cells/celia/learning/src/data.js;packages/cells/celia/learning/src/models.js;tools/celia-learning-store.mjs;tools/celia-learning.mjs;tests/celia-learning.test.js;docs/celia-adaptive-learning.ar.md,بحث offline في القوالب على train/validation مع إصدار مرشح,تحسن على holdout جديد دون data leakage أو ترقية تلقائية,NOT_CONNECTED,P14,nexa-execution-plan.ar.md#p14,PLANNED_NOT_IMPLEMENTED_BY_THIS_DOCUMENT
A042,Structured Outputs,P,جزئي أو أساس قريب,R3,P1,R1;R2,Integrations + Platform,موصلات وتوجيه وسياق,"E03,E04",packages/runtime/src/providers.js;tools/celia-grok-port.mjs;packages/cells/celia/planner/src/grok.js;packages/cells/celia/executor/src/executor.js;packages/cells/celia/executor/src/tool-registry.js;packages/cells/celia/executor/src/adaptive-dag.js;tools/dag-executor.mjs,تعميم المخرجات المقيدة والتحقق بعد provider لا JSON فقط,رفض truncation وrefusal وشكل خاطئ دون تنفيذ جزئي,CONNECTED_LIMITED,P10,nexa-execution-plan.ar.md#p10,PLANNED_NOT_IMPLEMENTED_BY_THIS_DOCUMENT
A043,JSON Schema Validation,P,جزئي أو أساس قريب,R1,P0,R0,Security + Platform,بوابة تنفيذ وعزل وهوية موحدة,"E01,E04",packages/identity/index.js;packages/crypto/index.js;packages/capability/index.js;packages/policy/src/rules.js;packages/protocol/index.js;packages/ast/index.js;tests/capability.test.js;tests/endpoint.test.js;tests/security.test.js;packages/cells/celia/planner/src/grok.js;packages/cells/celia/executor/src/executor.js;packages/cells/celia/executor/src/tool-registry.js;packages/cells/celia/executor/src/adaptive-dag.js;tools/dag-executor.mjs,validators مخصصة موجودة؛ يلزم profile schema موحد بإصدار,additionalProperties والحدود والأنواع تفرض على كل منفذ,NOT_CONNECTED,P04,nexa-execution-plan.ar.md#p04,PLANNED_NOT_IMPLEMENTED_BY_THIS_DOCUMENT
